,Current (A),Voltage (V),Voltage Std (V)
0,-0.001,-10.00183,0.0001742129
1,-0.0009591836734693877,-10.00186,0.0002192751
2,-0.0009183673469387756,-10.00184,0.0001943131
3,-0.0008775510204081633,-10.00185,0.000181973
4,-0.000836734693877551,-10.00186,0.0001720242
5,-0.0007959183673469387,-10.00182,0.0001999494
6,-0.0007551020408163266,-10.00186,0.0001808074
7,-0.0007142857142857143,-10.00185,0.0002301038
8,-0.000673469387755102,-10.00185,0.0002021661
9,-0.0006326530612244898,-10.00187,0.0001630398
10,-0.0005918367346938776,-10.00186,0.0002005342
11,-0.0005510204081632653,-10.00185,0.0001867316
12,-0.0005102040816326531,-10.00186,0.0001636386
13,-0.00046938775510204083,-10.00185,0.0001811537
14,-0.00042857142857142855,-10.00184,0.0002163593
15,-0.0003877551020408164,-10.00184,0.0001852617
16,-0.0003469387755102041,-10.00185,0.0002058957
17,-0.0003061224489795918,-10.00187,0.0001503643
18,-0.00026530612244897965,-10.0019,0.0001933904
19,-0.00022448979591836737,-10.00184,0.0001719862
20,-0.0001836734693877551,-10.00188,0.0001752642
21,-0.00014285714285714292,-10.00185,0.0002049018
22,-0.00010204081632653064,-10.00189,0.0001920153
23,-6.122448979591836e-05,-10.00187,0.0001991488
24,-2.0408163265306194e-05,-10.00188,0.0001786162
25,2.0408163265306194e-05,9.366515,2.003116
26,6.122448979591836e-05,9.999932,0.0002087398
27,0.00010204081632653053,9.99991,0.0001976135
28,0.00014285714285714292,9.999952,0.0002235891
29,0.0001836734693877551,9.999952,0.0001982701
30,0.00022448979591836726,9.999931,0.0002020485
31,0.00026530612244897965,9.999945,0.0001921327
32,0.0003061224489795918,9.999948,0.0001714471
33,0.000346938775510204,9.999928,0.0001892947
34,0.0003877551020408164,9.999945,0.0002215009
35,0.00042857142857142855,9.99996,0.000168923
36,0.0004693877551020407,9.999947,0.0002179585
37,0.0005102040816326531,9.999939,0.0001771966
38,0.0005510204081632653,9.999932,0.0001989721
39,0.0005918367346938774,9.999932,0.0001806089
40,0.0006326530612244898,9.999954,0.0001501312
41,0.000673469387755102,9.999945,0.0002374602
42,0.0007142857142857142,9.999974,0.0001843843
43,0.0007551020408163266,9.999928,0.0001804756
44,0.0007959183673469387,9.999928,0.000199566
45,0.0008367346938775509,9.999943,0.0002128527
46,0.0008775510204081633,9.999977,0.0001854896
47,0.0009183673469387755,9.999965,0.0002405726
48,0.0009591836734693876,9.999963,0.0001721067
49,0.001,9.999955,0.0002409637
