,Voltage (V),Current (A),Current Std (A)
0,0.0,0.0005778481,3.204297e-07
1,-0.7346938775510204,0.0005770277,4.598761e-07
2,-1.469387755102041,0.0005742,1.111276e-07
3,-2.2040816326530615,0.0005726587,2.544321e-07
4,-2.938775510204082,0.0005708876,4.862237e-07
5,-3.673469387755102,0.0005689654,4.662131e-07
6,-4.408163265306123,0.0005662982,2.496487e-07
7,-5.142857142857143,0.0005651306,3.912103e-07
8,-5.877551020408164,0.0005625871,4.117038e-07
9,-6.612244897959184,0.0005597562,4.514817e-07
10,-7.346938775510204,0.0005563338,1.876161e-07
11,-8.081632653061225,0.0005533197,1.186088e-07
12,-8.816326530612246,0.0005507476,4.271567e-07
13,-9.551020408163266,0.0005488106,3.761357e-07
14,-10.285714285714286,0.0005456473,3.975942e-07
15,-11.020408163265307,0.000541146,1.216997e-07
16,-11.755102040816327,0.00053779,8.882282e-08
17,-12.489795918367347,0.0005348676,3.522502e-07
18,-13.224489795918368,0.0005303405,2.701211e-07
19,-13.959183673469388,0.000526657,1.449789e-07
20,-14.693877551020408,0.0005219299,2.788613e-07
21,-15.428571428571429,0.0005179739,2.917202e-07
22,-16.16326530612245,0.0005135734,3.60404e-07
23,-16.89795918367347,0.0005090526,4.148708e-07
24,-17.63265306122449,0.000503364,2.621966e-07
25,-18.367346938775512,0.0004978398,1.048897e-07
26,-19.102040816326532,0.0004917051,2.645555e-07
27,-19.836734693877553,0.0004843846,2.528017e-07
28,-20.571428571428573,0.0004776375,1.229196e-07
29,-21.306122448979593,0.0004703875,4.097975e-07
30,-22.040816326530614,0.0004619667,2.066523e-07
31,-22.775510204081634,0.0004531366,4.223138e-07
32,-23.510204081632654,0.000443282,1.691428e-07
33,-24.244897959183675,0.000432027,2.4941e-07
34,-24.979591836734695,0.0004198174,1.504097e-07
35,-25.714285714285715,0.0004063953,5.030921e-07
36,-26.448979591836736,0.0003905669,4.239324e-07
37,-27.183673469387756,0.0003725034,2.558178e-07
38,-27.918367346938776,0.0003532737,3.085628e-07
39,-28.653061224489797,0.0003283345,1.894948e-07
40,-29.387755102040817,0.0003000868,4.398654e-07
41,-30.122448979591837,0.0002656088,1.508281e-07
42,-30.857142857142858,0.0002243453,2.263729e-07
43,-31.591836734693878,0.0001747064,3.039104e-07
44,-32.3265306122449,0.0001138597,4.016589e-07
45,-33.06122448979592,3.958794e-05,4.43466e-07
46,-33.79591836734694,-5.150995e-05,4.262832e-07
47,-34.53061224489796,-0.0001621673,4.444474e-07
48,-35.26530612244898,-0.0002964642,2.72476e-07
49,-36.0,-0.0004592873,3.792959e-07
